names,locations,prices,ratings,images
Dee Mansion Bali,"Denpasar Barat, Denpasar",IDR 121.725,3.7,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/29/833b0db7-ba5e-4925-ad2a-66016cdb2af7-1603910255991-efd89acfce896931238a139d4aaf6633.jpg
Uma de Villa Sanur,"Denpasar Selatan, Denpasar",IDR 245.000,,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/13/1990b58a-31d6-407b-bc1b-e39504e4a59a-1602541522850-16227b43aeb4fc5eb5e9c2eba61ca009.jpg
Renon Garden Suites Villas,"Denpasar Selatan, Denpasar",IDR 500.000,4.8,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/09/29/9fccd12c-c5e6-4c58-9e69-13bbf7c51488-1601323585546-54de65b0ee47f92c1f4ee2b098435f84.jpg
Mars City Hotel,"Denpasar Selatan, Denpasar",IDR 156.374,3.1,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/28/d95d0e9b-d796-46a7-93d8-f646223de762-1603886731217-38e7349d197a8f9bda9eaaf48ee58a12.jpg
Swiss-Belresort Watu Jimbar,"Denpasar Selatan, Denpasar",IDR 497.000,4.3,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/08/20/b5c4b84f-34aa-464d-9103-7bb9422e7cdf-1629423318505-189d5e2758d539f12d48592b1f345855.jpg
Cozy Stay Bali,"Denpasar Barat, Denpasar",IDR 120.960,4.2,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/08/04/e9f52d02-290f-4744-976b-fe877bd3c834-1628057723423-b68565a5f389b1ca8a8177243db7476b.jpg
HARRIS Hotel and Conventions Denpasar,"Denpasar Utara, Denpasar",IDR 238.500,3.9,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/28/d27b5ae6-b34e-407e-ad68-ce93e4f3b7bb-1603891610176-105cf46a02130c22107fa55ba1c04c1c.jpg
The Banyumas Villa,"Denpasar Selatan, Denpasar",IDR 293.721,4.7,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/31/a978dc1a-2015-4db6-9a17-dbf8b66f76db-1604140924956-e8da46dc33282d296b80050b848feaa3.jpg
b Hotel Bali & Spa,"Denpasar Barat, Denpasar",IDR 435.353,4.5,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/31/a5f1959e-9f02-407a-a79c-c958160b272f-1604159914991-856fef364833fb8e76e54e15ae46380b.jpg
Ramada by Wyndham Bali Sunset Road Kuta,"Kuta, Denpasar",IDR 410.335,4.0,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/15/695d9480-b408-449e-82bd-0796dc849598-1602744491538-cc7851daa26a8dae2e2fdeadda80dc5c.jpg
