names,locations,prices,ratings,images
Hotel Bali Kepundung Denpasar,"Denpasar Utara, Denpasar",IDR 134.972,,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/29/aef6f21a-f901-4cfd-a5a2-85ca8f439bcb-1603911331239-075681657e42d945e49beb0bf6045315.jpg
The Salak Hotel Bali,"Denpasar Barat, Denpasar",IDR 252.599,3.3,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/09/23/2e1676aa-8daf-4f69-a3ed-74db006b6b9c-1600801076880-0a5dfb3b1839d76222c104aacd968191.jpg
Taman Ayu 212,"Denpasar Selatan, Denpasar",IDR 141.750,4.0,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/03/12/d11138e9-cd57-4bd9-8058-7b66b46609b5-1615534536235-6f0cdc0359685d65162f36ede8dd82b6.jpg
Kiki Residence Bali,"Denpasar Barat, Denpasar",IDR 112.156,3.0,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/15/c3c570ed-4d4d-4ee9-a18c-b1bceed07395-1602747200692-59708b3c9f526cc478d297a8664681f0.jpg
Hotel Taman Suci Denpasar,"Denpasar Barat, Denpasar",,2.8,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/28/371e095f-b5fe-4891-add5-83290308ea57-1603876529588-3a5d5538594d9a93091eb39767c6a1d0.jpg
Apartement Lotus  Garden,"Denpasar Timur, Denpasar",,,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/31/3727181f-b2ac-4caa-805f-7dcab1a3ce9c-1604147890987-09a9d3154460b636b8139e690b4a5ab7.jpg
Inna Sindhu Beach Hotel,"Sanur, Denpasar",IDR 247.043,4.6,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/28/ddb5201d-f9f7-421f-8e6e-dec1f7766a74-1603874842085-ce0b0b748b0d3bcb1d1ed31d97d502a4.jpg
Akana Boutique Hotel Sanur,"Denpasar Selatan, Denpasar",IDR 206.513,4.3,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/31/a397bb0d-a1a0-479f-be57-601aafa3ee95-1604132293571-a3189c9229ab0d71c60d267197b241c5.jpg
Prama Sanur Beach Bali,"Denpasar Selatan, Denpasar",IDR 463.981,3.6,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/28/31058893-2988-459b-9f81-efbcc2ee41c7-1603874927708-e8c06263bb60e829f13b8c47c263558f.jpg
Jambu Inn Sanur,"Denpasar Selatan, Denpasar",,3.7,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/29/7731b828-96e5-40fd-9409-2874a854ce3c-1603924615161-4e1107a82a9bc33861f0258dfa2daae7.jpg
Arena Living,"Sanur, Denpasar",IDR 315.900,4.2,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/29/edfe9f8b-d734-4a44-8e3a-132cb1957c2e-1603915211422-c34d31654a849db70a1694574ccea472.jpg
D'uma Residence & Hostel,"Denpasar Selatan, Denpasar",IDR 51.792,3.3,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/31/ab8e2e29-ca4a-4d56-8f29-164361538f50-1604161753833-378c8cb70f64b4e712df33c73d9f7ffb.jpg
Aston Denpasar Hotel and Convention Center,"Denpasar Utara, Denpasar",IDR 370.698,3.7,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/06/08/ba882566-bf1e-4db6-a37c-9a63b0683f35-1623149711128-a3a605c986a14f3bc5227f89977929bc.jpg
Taksu Sanur Hotel,"Denpasar Selatan, Denpasar",IDR 270.726,4.1,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/11/01/c601e2c7-99ba-4a98-b665-066997102373-1604164293991-de5f689670399df8a7d816e47677e3b8.jpg
Segara Village Hotel,"Denpasar Selatan, Denpasar",IDR 662.571,4.2,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/28/5e00fe3b-2ea5-46c7-8448-a999984d6020-1603875991570-401fd90b512c7a04becdbb7ea8c604e1.jpg
Villa Seriska Dua Sanur,"Denpasar Selatan, Denpasar",IDR 4.263.465,,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/09/22/dc63e172-2574-4fe6-9143-8d88ecc307a4-1600778272354-9133f3ca254ba1baf2d1f97ee08661cd.jpg
Four Star by Trans Hotel,"Denpasar Selatan, Denpasar",IDR 334.113,3.9,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/11/16/73e4da88-04cb-49ef-a86e-7f99d8eb8eac-1605524542333-3b84cb89b7dcf95415ce5be20bd5d1f9.jpg
Antara Sunset Road,"Pemogan, Denpasar",,1.5,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/31/60a1ec77-18c0-48a3-a88f-257836e7fcb6-1604118800164-5e9522c234107f204b6be22a53e7eef3.jpg
Sanur Agung Hotel,"Denpasar Selatan, Denpasar",IDR 209.000,3.7,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/28/c592b48f-67c8-4c51-9e89-6f210ad73957-1603873759760-9cec23982bc5ad4f1f368ba72f367e52.jpg
The Alley City Hotel,"Denpasar Selatan, Denpasar",IDR 186.300,4.0,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/15/04b64e40-44c1-47c5-9731-50a8537d9df1-1602749487231-a19d5bc1bcc3c52f5c481e097652bd15.jpg
D Astri Guest House,"Denpasar Selatan, Denpasar",IDR 100.933,3.8,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/29/875536cf-8038-4d74-8640-1345308e72dd-1603920155898-4244d36a8b55b557e0b7aa45276aefa4.jpg
Diwangkara Beach Hotel and Resort,"Denpasar Selatan, Denpasar",IDR 482.247,,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/16/832ff3be-1136-4fda-a601-ec15b574745f-1602804720419-162d85bba1a91f1767844d5476c9a2c1.jpg
Rai House Sanur,"Denpasar Selatan, Denpasar",IDR 119.576,4.2,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/28/0a537973-515d-4ac7-ab73-29c8dcf83aab-1603902746328-0db0a9cd5017ee68bf07b7fd3c6e01cb.jpg
The Kings Villas and Spa Sanur,"Sidakarya, Denpasar",IDR 900.000,4.8,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/03/18/1cb030b9-e99c-41bc-bcd0-8c8cfee03e02-1616068526217-3052dce75016c4b60d901dd8241db9dc.jpg
Alit Beach Resort and Villas,"Denpasar Selatan, Denpasar",IDR 426.300,2.7,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/10/23/96074f04-fff5-4346-894b-134e208390b6-1634926864144-15df1f3973417796d3a96e03a3900177.jpg
Puri Sading Hotel,"Denpasar Selatan, Denpasar",IDR 294.058,,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/28/4fcfcd2d-2366-4e10-a9af-55b888075739-1603876582314-6fe159a8767c652e8ec5d1359d7053c2.jpg
Umah Bali Suite and Residence,"Denpasar Utara, Denpasar",IDR 116.660,3.9,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/09/30/e93d6135-ec83-4efb-870b-4ef6ebc9a120-1601461077376-90cc8fe8f2bbbd2f5b727b1caa06a5cd.jpg
Home 21 Bali,"Denpasar Selatan, Denpasar",IDR 261.001,4.0,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/11/15/10394449-40de-4285-aa50-34382dc7d8d4-1605409572648-46cd73afdd1e8411372d62709ac717a8.jpg
Holiday Inn Bali Sanur,"Denpasar Selatan, Denpasar",IDR 503.554,4.8,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/08/16/de6cdc49-fa6f-48a8-bde2-d41b3fde2ed7-1629080126076-b8773884fd7aabeedc6a712826a70f8b.jpg
Puri Yuma Hotel & Villa,"Denpasar Selatan, Denpasar",,2.5,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/11/16/e34dbdd2-6373-42bd-977d-b9f95074aeee-1605482700632-86f007a9096cfd98b6adfd71d2e01d2b.jpg
Sindhu Mertha Suite,"Denpasar Selatan, Denpasar",IDR 205.987,3.7,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/29/fc993869-a688-41b9-a4d2-5ab8173dafa2-1603905609390-c727eba2be9575f9a93346af3716971e.jpg
Griya Sunset Kuta,"Denpasar Barat, Denpasar",,3.1,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/31/cc9c8518-71ae-4649-89f3-2f457c74bde8-1604126768891-6aa38351ea1b5fb7ed190f3a88d4678d.jpg
Sanur Seaview Hotel,"Denpasar Selatan, Denpasar",IDR 324.000,3.7,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/31/a219591c-8e9f-4813-b826-5a299df6bb03-1604130791242-0a664f91d34a2111e7da54fa7a7291cf.jpg
The Grand Bali Park Hotel,"Denpasar Barat, Denpasar",,2.1,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/31/2450c228-b32b-4977-8b4f-a1cef42d86a6-1604140001028-d7c50c13de52dff55afe8579be8d5dc1.jpg
Bali Emerald Villa,"Denpasar Selatan, Denpasar",IDR 876.408,,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/09/22/b7a993b2-9c7c-489c-9741-08a935d11cd2-1632279054966-f409f610bea5fb4c50fab12b62f5babd.jpg
Visakha Sanur,"Denpasar Selatan, Denpasar",,1.0,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/01/09/c4e971cf-d74a-478f-8ff7-df55aa401ff6-1610180719180-7927f5b71e8b1f4dd62a559628b155ed.jpg
De Lemon Gatsu,"Denpasar Utara, Denpasar",,2.2,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/28/3bf386ce-4d31-4f4f-b050-991b0292cc0d-1603898544199-9ca9022402272f97d8083b638fbe3070.jpg
Dampati Villas,"Denpasar Selatan, Denpasar",,,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/28/428d8378-86f9-4f82-945c-ffade1a34741-1603879326835-ec3b41e2695959a83a483b02ac60c4b7.jpg
Shagida Apartment,"Denpasar Selatan, Denpasar",,,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/11/05/9ed86688-7752-4cef-b3c3-c41403e1e490-1604551102183-239b27c231c4d0f0eb38fed528ce2c3f.jpg
Sayang Residence 2,"Denpasar Selatan, Denpasar",IDR 246.240,3.1,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/13/f06feb71-dcbe-4f90-8a65-a526e4098585-1602555684374-6c9f190278d7dc3767a7d3dc909b9d3a.jpg
Villa Mahapala Bali,"Denpasar Selatan, Denpasar",IDR 1.806.500,,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/28/88eb2cd1-cb4c-40e8-8362-6cea8aa2f15b-1603875582075-8568247e4d6e48ec52a1b12cf698f31e.jpg
Puri Dalem Sanur Hotel,"Denpasar Selatan, Denpasar",IDR 404.999,4.6,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/15/581f6f5e-34d9-4610-9a20-bcf5abd2e09d-1602729736459-3b407c8b8874e2a78df59120218d36b0.jpg
Prime Plaza Suites Sanur - Bali,"Sanur, Denpasar",IDR 430.985,4.3,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/28/ea753c5f-daae-4d13-9ab6-0cbbb9da7ec5-1603882039475-683ffd32d8ddde171aca66c6b26c5aa3.jpg
RedDoorz Plus @ Mahendradatta Denpasar,"Denpasar Barat, Denpasar",IDR 118.299,4.7,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/26/f190efeb-81bc-4b5d-83a5-0487e518af6d-1603684669629-e865cf06fa7477b50aced31f7e7380ac.jpg
Fairmont Sanur Beach Bali,"Denpasar Selatan, Denpasar",IDR 4.571.111,3.1,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/11/01/68973a20-1227-475c-af5e-9bc9cc1b24cb-1604178392967-dd5ad7a06b4df6e99285d5b8ac6f6f85.jpg
Abian Harmony Hotel,"Denpasar Selatan, Denpasar",IDR 180.000,4.3,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/28/bb45cf18-6883-41d5-b6be-4d8ab598a3c3-1603898891331-9381d661bcc5470144be08d4006af627.jpg
Abian Srama Hotel and Spa,"Sanur, Denpasar",IDR 116.999,3.5,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/11/15/b8778de9-4521-4f25-8205-83b20b0586ed-1605414583064-4ed6e7136a58b9e840c3abab9554f28c.jpg
OYO 499 Princess Keisha Hotel & Convention Center,"Denpasar Barat, Denpasar",IDR 157.524,3.1,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/31/b3e5e9f7-28a4-4823-aae0-e3f973437a4f-1604144616489-fc1864c2f7025ad540c12c2f11663c12.jpg
Uma Emas Residence,"Denpasar Selatan, Denpasar",,,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/11/01/fc84922b-2d18-49bf-a03f-fc172eb39423-1604166367317-dc338e1fe647773446dc6b97463ebd31.jpg
Amansari Villa,"Denpasar Selatan, Denpasar",IDR 378.000,4.7,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/11/01/bb8decc0-ce65-40b6-ab1f-bb20677de40e-1604172656512-9089b2b6512db497ec9050b8a0fd2983.jpg
Alam Puri Art Museum - Resort & Spa,"Denpasar Timur, Denpasar",,,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/11/06/2154606c-3483-483d-a3fe-52b3cad287b2-1604596871175-7061edbb12a01cde12193b29ac0e1585.jpg
The Kanjeng Suite & Villa Sanur,"Denpasar Selatan, Denpasar",IDR 167.704,2.8,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/03/22/3273160f-4657-4260-8ea6-db7b22f32f51-1616384716784-aea1b43d0121667f6cf9d87724e79fb1.jpg
Gazebo Beach Hotel,"Denpasar Selatan, Denpasar",IDR 456.916,,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/28/fa27a940-7aab-4985-9cae-15a554eaf61f-1603876718769-1ba7961346c8cba0bac5607011c3d670.jpg
Stana Puri Gopa Hotel,"Denpasar Selatan, Denpasar",IDR 169.387,,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/28/3b1ff8ec-727e-4795-8fb6-600e0edf5fe5-1603876613703-adb34537202c2b8eecfe07191d4a8697.jpg
OYO 1486 Tantular Residence,"Denpasar Timur, Denpasar",IDR 118.102,3.9,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/03/12/c5c53e88-34a1-4b23-ac7a-0d86cb3c4e1b-1615545344048-b187856af291d831a988d8c01f2f3317.jpg
Collection O 14 Sun Boutique Hotel,"Kuta, Denpasar",,3.6,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/31/2a6731b8-1833-4749-a04f-ae2128057a34-1604138873096-4e3d0b45adb530c16567c804f8fecfa6.jpg
The Yuma Bali Hotel Sanur,"Denpasar Selatan, Denpasar",IDR 252.735,,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/07/06/94b20ecb-1604-4145-9319-612a36633e79-1625562930546-67eb9e39fe8c7856ca1b1139b3c451b4.jpg
Ramayana Hotel,"Denpasar Selatan, Denpasar",IDR 388.499,,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/04/06/883c7427-d7fe-49a2-8e66-f4d118d72fb0-1617696593383-60bad756c569e11b9f182ea526343fed.jpg
The Janan Villa,"Denpasar Selatan, Denpasar",IDR 119.400,4.8,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/17/05fe2ab9-ef21-4ddd-895a-49913797bda5-1602920035637-5614e6996c94a92a9634f576bd2dae46.jpg
Lembayung Sari Homestay,"Pemogan, Denpasar",IDR 143.533,4.0,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/29/29d004e5-db2f-46d3-b917-828d013836fa-1603928505570-6121d731654efc7ec1999189eabe6f41.jpg
Ganga Hotel & Apartment,"Denpasar Barat, Denpasar",IDR 106.002,3.8,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/01/28/1d7b00db-ab6b-46b4-8bb5-7b85330754aa-1611834911402-d1c32c80fa54253a582f6ebaf2b8a362.jpg
Parigata Resort and Spa,"Denpasar Selatan, Denpasar",IDR 324.935,2.8,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/15/d81de277-cb9e-4413-8593-b120ccbc6c98-1602728182885-59ba928388148ccc660748ba7c9839e1.jpg
Alkyfa Hotel,"Denpasar Barat, Denpasar",IDR 354.300,,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/11/01/9d9840d1-937e-42f5-ab56-4cabcc4d7d9a-1604178389128-ccedac4bd5ab5b8cb855302314fed8fe.jpg
Hotel Sanur Indah,"Sanur, Denpasar",IDR 150.000,3.0,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/13/5e59bd8e-8703-415a-be87-977960a1c38c-1602561082661-39da11fb287745cc2fdc3a6e6721c645.jpg
Sanur Art Villas,"Sanur, Denpasar",IDR 232.200,4.1,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/29/150ee2ff-be72-4744-88b5-f7a1910c29cb-1603908492987-ab7d1f9b407650c95659daa0df756b62.jpg
Akarsa Residence,"Denpasar Selatan, Denpasar",IDR 166.487,3.4,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/02/26/dadce165-26cf-435d-9207-a6654b857d34-1614332723144-c97957bdf8ae2fc9754cba60b78b0ec3.jpg
Nirmala Hotel and Convention Centre,"Denpasar Barat, Denpasar",IDR 261.799,,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/19/eaca5945-db1c-44bb-b633-c01ea53b4f79-1603104730070-9c7b23815d63a3a54982aac0f3d7a582.jpg
"3 Br Villa II Sayang Sanur , Only 6 minutes walk to beach","Denpasar Selatan, Denpasar",,,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/08/19/cf6fd0c1-5062-446c-95cf-c21195a78231-1629339321195-f261d4b3ac572b59a931c2394dc963c9.jpg
Cafe Locca Hostel Bali,"Denpasar Selatan, Denpasar",,,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/09/30/d6b79231-6fe5-4795-a697-065258dff2f4-1632994248928-ac76ff6350f9b6777fc5c563475fc7ec.jpg
"3 Br Villa III Sayang Sanur , Only 6 minutes walk to beach","Denpasar Selatan, Denpasar",,,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/08/19/d1879868-e1ed-4669-b919-2d614301388f-1629339916141-559400a068e17d96b172a705ab316dcc.jpg
"3 Br Villa VI Sayang Sanur , Only 6 minutes walk to beach","Denpasar Selatan, Denpasar",,,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/08/19/00555a9d-b14f-4feb-ac51-69404716c4d3-1629339917616-9c70b6a816ee1e7c1816ad2457cd2598.jpg
"3 Br Villa V Sayang Sanur , Only 6 minutes walk to beach","Denpasar Selatan, Denpasar",IDR 4.860.000,,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/08/19/5f1b0516-3bb2-498a-b8bc-66c552a88fba-1629339917445-ece5874d89cac7f3413bccd4aee1cad8.jpg
Saka Umah 2 Bedrooms with private pool,"Denpasar Barat, Denpasar",,,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/09/28/b177bb7b-2a34-4a39-9da2-d7f33b716d2a-1632781601421-7c283f95638f74d70011ad279ec353bd.jpg
Papaya Villa,"Denpasar Selatan, Denpasar",,,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/16/31f12782-1102-4461-a871-73cb73eec106-1602795089292-3d649294e1f407178da5131b2fec4a6c.jpg
"3 Br Villa I Sayang Sanur , Only 6 minutes walk to beach","Denpasar Selatan, Denpasar",,,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/08/19/53cabaec-7a60-442b-a7a3-9d2de6eee2d5-1629339321796-ee5745113f840fcd6fb4db05c551f8bb.jpg
Eat Sleep Skate Bali,"Denpasar Timur, Denpasar",,,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/08/26/9229c4e2-a486-4a59-851e-441e24a7342e-1629938692773-8db61231879fdea8bebb4d3e9bfb4272.jpg
"Large, quiet apartment with huge shared pool","Denpasar Selatan, Denpasar",,,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/09/28/e11b8355-2aa6-4d04-9a02-55ed5f06ae4a-1632781574508-0484a4f7faf41717c3eae5a43de08f61.jpg
"4 Br Villa IV Sayang Sanur , Only 6 minutes walk to beach","Denpasar Selatan, Denpasar",IDR 5.670.000,,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/08/19/b5458874-2da9-4d12-8524-b7d50e310477-1629339917010-9b0f5ebde835de97e28825c2d40bf377.jpg
Three Bedrrom Villa-Breakfast|TS,"Denpasar Timur, Denpasar",,,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/09/28/85603d9a-986d-4ed2-a1e9-b8ab008b217a-1632781731463-d0e47a7c0b7f5bb62b91fc95ab02d50f.jpg
Luxury Aliya Villas,"Denpasar Selatan, Denpasar",,,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/16/c0b13ad6-fbcd-451e-a2b1-5a2ec00357f7-1602812415694-174cd1075db696f8f72f859549e8354c.jpg
Sanur Lodge,"Denpasar Selatan, Denpasar",IDR 232.070,,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/12/ffd0dc08-2e7a-46ab-8b9d-f2d84b32d1ec-1602475527195-a665bf0a4546808c218dfbe99130bdad.jpg
Villa Nelly One Bedroom with Private Pool,"Denpasar Selatan, Denpasar",,,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/06/25/aff855c1-ba52-48e6-a50a-1954dada3a24-1624579819326-5bce4fe47f0a590a8182f45215c6efe7.jpg
Exis Tropical And Spa,"Denpasar Selatan, Denpasar",,,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/09/28/11085be7-cac5-4a0e-9731-5cb641413358-1632781639382-a6f79cc631cb6485fef551520d2c8ef4.jpg
Light and Bright Romantic one Bedroom with pool,"Denpasar Selatan, Denpasar",IDR 967.999,,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/09/28/19e2146d-b45e-4e6a-9c6f-451eb31dae39-1632771640477-67744e7141a6e2bd29e9bdea9aafb43b.jpg
